valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,69,344,1,214.9381
1/1/2013,1,69,345,1,215.32042
1/1/2013,1,69,346,1,215.63634
1/1/2013,1,69,347,1,215.86974
1/1/2013,1,69,348,1,216.02452
1/1/2013,1,69,349,1,216.12657
1/1/2013,1,69,350,1,216.21349
1/1/2013,1,69,351,1,216.31847
1/1/2013,1,69,352,1,216.46495
1/1/2013,1,69,353,1,216.6632
1/1/2013,1,69,354,1,216.92198
1/1/2013,1,69,355,1,217.25108
1/1/2013,1,69,356,1,217.66222
1/1/2013,1,69,357,1,218.15587
1/1/2013,1,69,358,1,218.71349
1/1/2013,1,69,359,1,219.2965
1/1/2013,1,68,0,1,209.1085
1/1/2013,1,68,310,1,209.10948
1/1/2013,1,68,311,1,209.04454
1/1/2013,1,68,312,1,208.91368
1/1/2013,1,68,313,1,208.72227
1/1/2013,1,68,314,1,208.48155
1/1/2013,1,68,315,1,208.21886
1/1/2013,1,68,316,1,207.97618
1/1/2013,1,68,317,1,207.8004
1/1/2013,1,68,318,1,207.72325
1/1/2013,1,68,319,1,207.74669
1/1/2013,1,68,320,1,207.85118
1/1/2013,1,68,321,1,208.01427
1/1/2013,1,68,322,1,208.22911
1/1/2013,1,68,323,1,208.5006
1/1/2013,1,68,324,1,208.8253
1/1/2013,1,68,325,1,209.18272
1/1/2013,1,68,326,1,209.53917
1/1/2013,1,68,327,1,209.86632
1/1/2013,1,68,328,1,210.15196
1/1/2013,1,68,329,1,210.39464
1/1/2013,1,68,330,1,210.59239
1/1/2013,1,68,331,1,210.74083
1/1/2013,1,68,332,1,210.84679
1/1/2013,1,68,333,1,210.93663
1/1/2013,1,68,334,1,211.05089
1/1/2013,1,68,335,1,211.2169
1/1/2013,1,68,336,1,211.43468
1/1/2013,1,68,337,1,211.6798
1/1/2013,1,68,338,1,211.92638
1/1/2013,1,68,339,1,212.17198
1/1/2013,1,68,340,1,212.43956
1/1/2013,1,68,341,1,212.76378
1/1/2013,1,68,342,1,213.16515
1/1/2013,1,68,343,1,213.63634
1/1/2013,1,68,344,1,214.1422
1/1/2013,1,68,345,1,214.63097
1/1/2013,1,68,346,1,215.05235
1/1/2013,1,68,347,1,215.37852
1/1/2013,1,68,348,1,215.61046
1/1/2013,1,68,349,1,215.7755
1/1/2013,1,68,350,1,215.90782
1/1/2013,1,68,351,1,216.03233
1/1/2013,1,68,352,1,216.16173
1/1/2013,1,68,353,1,216.30675
1/1/2013,1,68,354,1,216.48595
1/1/2013,1,68,355,1,216.72618
1/1/2013,1,68,356,1,217.05186
1/1/2013,1,68,357,1,217.47179
1/1/2013,1,68,358,1,217.97765
1/1/2013,1,68,359,1,218.54991
1/1/2013,1,67,0,1,209.11632
1/1/2013,1,67,310,1,209.0543
1/1/2013,1,67,311,1,208.94151
1/1/2013,1,67,312,1,208.78233
1/1/2013,1,67,313,1,208.58849
1/1/2013,1,67,314,1,208.3834
1/1/2013,1,67,315,1,208.19981
1/1/2013,1,67,316,1,208.07433
1/1/2013,1,67,317,1,208.02989
1/1/2013,1,67,318,1,208.0626
1/1/2013,1,67,319,1,208.14073
1/1/2013,1,67,320,1,208.2296
1/1/2013,1,67,321,1,208.31554
1/1/2013,1,67,322,1,208.41759
1/1/2013,1,67,323,1,208.56602
1/1/2013,1,67,324,1,208.77013
1/1/2013,1,67,325,1,209.00645
1/1/2013,1,67,326,1,209.23448
1/1/2013,1,67,327,1,209.42882
1/1/2013,1,67,328,1,209.59044
1/1/2013,1,67,329,1,209.7335
1/1/2013,1,67,330,1,209.86436
1/1/2013,1,67,331,1,209.97765
1/1/2013,1,67,332,1,210.06944
1/1/2013,1,67,333,1,210.1544
1/1/2013,1,67,334,1,210.25987
1/1/2013,1,67,335,1,210.4044
1/1/2013,1,67,336,1,210.58214
1/1/2013,1,67,337,1,210.77403
1/1/2013,1,67,338,1,210.97179
